scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H60,H60_60s,Hotspot-Moderate,96->56,96,56,False,,12,24.0,10.0,2.4,17,0.3591331206896552,0.483065,0.504996,58,26,2,28,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,644->604,644,604,False,,13,26.0,10.0,2.6,9,0.31881160344827586,0.48305,0.576768,58,10,3,13,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,56->16,56,16,False,,12,24.0,10.0,2.4,15,0.3244731379310345,0.483043,0.518822,58,19,4,23,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,684->644,684,644,False,,13,26.0,10.0,2.6,12,0.3311654482758621,0.479438,0.511241,58,17,4,21,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,15->684,15,684,False,,13,26.0,10.0,2.6,2,0.33384394827586206,0.471307,0.535913,58,23,2,25,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,55->15,55,15,False,,13,26.0,10.0,2.6,3,0.3314794655172414,0.470219,0.596896,58,30,8,38,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,16->683,16,683,False,,12,24.0,10.0,2.4,14,0.3036799482758621,0.447181,0.481841,58,19,0,19,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,643->603,643,603,False,,11,22.0,10.0,2.2,24,0.3169321034482759,0.419909,0.558693,58,10,0,10,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,564->524,564,524,False,,10,20.0,10.0,2.0,29,0.2834738103448276,0.417939,0.438081,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,523->524,523,524,False,,2,4.0,10.0,0.4,65,0.2760569655172414,0.41335,0.427769,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,683->643,683,643,False,,12,24.0,10.0,2.4,20,0.3137416551724138,0.403737,0.451717,58,21,2,23,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,604->564,604,564,False,,13,26.0,10.0,2.6,7,0.27252593103448275,0.374367,0.46622,58,6,0,6,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,522->523,522,523,False,,2,4.0,10.0,0.4,63,0.20162005172413794,0.348464,0.418013,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,603->563,603,563,False,,10,20.0,10.0,2.0,30,0.2593200172413793,0.347262,0.373244,58,1,0,1,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,563->523,563,523,False,,6,12.0,10.0,1.2,34,0.2559613448275862,0.344024,0.36144,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,524->523,524,523,False,,2,4.0,10.0,0.4,66,0.23557558620689656,0.339515,0.381754,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,521->522,521,522,False,,1,2.0,10.0,0.2,111,0.214734,0.32323,0.422516,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,523->522,523,522,False,,2,4.0,10.0,0.4,64,0.13428901724137932,0.252336,0.282255,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,559->520,559,520,False,,1,2.0,10.0,0.2,118,0.12210729310344827,0.220505,0.222296,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,520->521,520,521,False,,1,2.0,10.0,0.2,108,0.13791455172413794,0.2204,0.289585,58,0,0,0,0,0,0,0,0,,,0.0,0.0
